GSTIN,Invoice No,Inv Date,Product,Unit,HSN Code,Company,Batch No,Exp. Date,MRP,Qty,Purc Rate,Sale Rate,Vat %,GST Category
,00625579,24/08/2020,BENFOMET FORTE,10 TAB,3004,SUN,BSX0690,30/09/2021,240.00,1,184.46,240.00,0.00,12% GST
,00154418,21/08/2020,BENITOWA 4,10 TAB,3004,AKUME,SIZAY04,28/02/2022,106.00,1,83.09,106.00,0.00,12% GST
,00154418,21/08/2020,BENITOWA 8,10 TAB,3004,AKUME,SIZA06,28/04/2022,179.00,1,140.33,179.00,0.00,12% GST
,00709290,21/01/2021,BENZAC AC GEL 5%,20 GM,3004,GAL,:GS95,28/08/2022,181.00,2,140.47,181.00,0.00,12% GST
,00039843,28/12/2020,BEPLEX FORTE,20 TAB,3004,AFD,09089P,28/02/2023,35.35,1,27.72,35.35,0.00,12% GST
,EPL/59272,01/02/2021,BEPLEX FORTE,20 TAB,3004,AFD,05028P,31/08/2022,35.35,5,27.71,35.35,0.00,12% GST
,EPL/65672,20/02/2021,BEPLEX FORTE,20 TAB,3004,AFD,11051P,30/04/2023,35.35,6,25.51,35.35,0.00,12% GST
27AAACE7630H1ZQ,EPL/2896,07/04/2021,BEPLEX FORTE,20 TAB,3004,AFD,11051P,30/04/2023,35.35,10,25.25,35.35,12.00,12% GST
,R002532,28/10/2020,BEST TONER COMBI PACK,1PC,3004,BES,1903,28/07/2022,360.00,1,317.16,360.00,0.00,12% GST
,EPL/6259,24/08/2020,BETA NICARDIA,10 CAP,3004,JBC,ABJ20001,28/02/2023,105.55,1,82.73,105.55,0.00,12% GST
,EPL/66776,24/02/2021,BETA NICARDIA,10 CAP,3004,JBC,ABJ20005,31/08/2023,116.05,6,90.99,116.05,0.00,12% GST
27AAACE7630H1ZQ,EPL/20616,31/05/2021,BETACARD 50,14 TAB,3004,TORRE,2172G005,31/07/2024,27.85,5,19.89,27.85,12.00,12% GST
,00625595,24/08/2020,BETADINE 10% SOL 100ML,100ML,3004,WIN,PF0030,28/05/2022,104.16,1,84.02,104.16,0.00,12% GST
,S/36766,19/09/2020,BETADINE GARGLE,50 ML,3004,WIN,GF0440,30/11/2021,128.00,1,99.35,128.00,0.00,12% GST
,S/37733,22/09/2020,BETADINE GARGLE,100 ML,3004,WIN,GJ0340,31/01/2022,210.00,1,163.00,210.00,0.00,12% GST
,00642076,22/09/2020,BETADINE GARGLE,100 ML,3004,WIN,GJ0340,28/01/2022,210.00,1,161.31,210.00,0.00,12% GST
,S/70284,03/12/2020,BETADINE GARGLE,100 ML,3004,WIN,GK0800,28/02/2022,210.00,2,162.98,210.00,0.00,12% GST
,KP/35802,16/12/2020,BETADINE GARGLE,100 ML,3004,WIN,GK0870,28/02/2022,210.00,2,164.50,210.00,0.00,12% GST
,S/21424,21/12/2020,BETADINE GARGLE,100 ML,3004,WIN,GK0820,28/02/2022,210.00,1,164.60,210.00,0.00,12% GST
,S/90566,11/01/2021,BETADINE GARGLE,100 ML,3004,WIN,GK0830,28/02/2022,210.00,2,162.97,210.00,0.00,12% GST
,00712637,28/01/2021,BETADINE GARGLE,100 ML,3004,WIN,GN0170,28/04/2022,230.00,2,178.42,230.00,0.00,12% GST
,00737022,10/03/2021,BETADINE GARGLE,100 ML,3004,WIN,GN0440,28/04/2022,230.00,2,176.65,230.00,0.00,12% GST
27AAFFM7699Q1Z3,00760681,15/04/2021,BETADINE GARGLE,50 ML,3004,WIN,GP0530,28/05/2022,128.00,3,91.43,128.00,12.00,12% GST
27AAHCS2250A1ZT,S/15798,22/04/2021,BETADINE GARGLE,50 ML,3004,WIN,GP0460,31/05/2022,128.00,1,91.43,128.00,12.00,12% GST
27AAHCS2250A1ZT,S/17088,24/04/2021,BETADINE GARGLE,50 ML,3004,WIN,GP0460,31/05/2022,128.00,2,91.43,128.00,12.00,12% GST
27AAHCS2250A1ZT,S/24476,08/05/2021,BETADINE GARGLE,50 ML,3004,WIN,GB0311,31/07/2022,140.00,2,100.00,140.00,12.00,12% GST
27AAHCS2250A1ZT,S/24476,08/05/2021,BETADINE GARGLE,100 ML,3004,WIN,GA0321,30/06/2022,230.00,2,164.29,230.00,12.00,12% GST
,00625595,24/08/2020,BETADINE OINT 250GM,250GM,3004,WIN,PA0800,28/12/2021,457.00,1,351.07,457.00,0.00,12% GST
,00669747,11/11/2020,BETADINE OINTMENT,15 GM,3004,WIN,PJ0260,28/07/2022,116.26,2,93.72,116.26,0.00,12% GST
,00653643,12/10/2020,BETADINE POWDER,10 GM,3004,WIN,GK0400,28/08/2023,120.00,2,92.15,120.00,0.00,12% GST
,00625595,24/08/2020,BETADINE SCRUB SOLUTION,50 ML,3004,WIN,PD0050,28/09/2021,170.00,1,130.59,170.00,0.00,12% GST
,00679671,28/11/2020,BETADINE SCRUB SOLUTION,50 ML,3004,WIN,PJ0570,28/01/2022,186.00,1,142.86,186.00,0.00,12% GST
,S/67798,28/11/2020,BETADINE SOLUTION,100 ML,3004,WIN,PK0450,31/08/2022,104.16,1,84.88,104.16,0.00,12% GST
,00705590,14/01/2021,BETAFREE EYE DROPS,5 ML,3004,MIC,BTFA030,28/08/2022,450.00,1,349.32,450.00,0.00,12% GST
,00705590,14/01/2021,BETAFREE EYE DROPS,5 ML,3004,MIC,BTFA031,28/10/2022,450.00,1,349.32,450.00,0.00,12% GST
,00745994,26/03/2021,BETAMIL GM CREAM,25 GM,3004,MERCK,1038C83901,28/10/2022,32.93,2,25.29,32.93,0.00,12% GST
27AAFFM7699Q1Z3,00766237,23/04/2021,BETAMIL GM CREAM,25 GM,3004,MERCK,1070C83901,28/11/2022,32.93,5,23.52,32.93,12.00,12% GST
27AAFFM7699Q1Z3,00785151,31/05/2021,BETAMIL GM CREAM,25 GM,3004,MERCK,1093C84401,28/12/2022,32.93,5,23.52,32.93,12.00,12% GST
27AADCN5894P1ZJ,IDB2171057,31/05/2021,BETASEPTIC SOLUTION,100 ML,3004,MOD,IN201152,01/03/4023,100.00,1,0.01,100.00,12.00,12% GST
,00637246,14/09/2020,BETNOVATE C CREAM,30 GM,3004,GSK,NH735,28/03/2022,48.50,3,37.25,48.50,0.00,12% GST
27AAHCG7843H1ZA,GTEHHY/220005301,07/04/2021,BETNOVATE C CREAM,30 GM,3004,GSK,TN4R,01/11/2022,48.50,1,32.57,48.50,12.00,12% GST
,S/22758,04/01/2021,BETNOVATE GM CREAM,20 GM,3004,GSK,ND840,30/11/2021,31.00,2,24.31,31.00,0.00,12% GST
,00665806,04/11/2020,BETNOVATE N CREAM,20 GM,3004,GSK,FB517,31/08/2021,33.30,2,25.57,33.30,0.00,12% GST
,S/21424,21/12/2020,BETNOVATE N CREAM,20 GM,3004,GSK,FC244,28/02/2022,33.30,2,26.11,33.30,0.00,12% GST
,S/24129,18/01/2021,BETNOVATE N CREAM,20 GM,3004,GSK,FC244,28/02/2022,33.30,1,26.12,33.30,0.00,12% GST
27AADCN5894P1ZJ,IDB2165764,27/05/2021,BETNOVATE N CREAM,20 GM,3004,GSK,K84J,01/08/4022,36.60,4,26.14,36.60,12.00,12% GST
,S/21424,21/12/2020,BETNOVATE S CREAM,20 GM,3004,GSK,NA977,28/02/2022,30.05,1,23.55,30.05,0.00,12% GST
,00683147,04/12/2020,BETNOVATE SKIN CREAM,20 GM,3004,GSK,NB362,31/08/2022,18.69,1,14.50,18.69,0.00,12% GST
,S/22758,04/01/2021,BETNOVATE SKIN CREAM,20 GM,3004,GSK,NB362,31/08/2022,18.69,1,14.64,18.69,0.00,12% GST
,,/  /,BEVON,15 CAP,3004,EMCUR,ZPE6AD0129,31/10/2022,109.90,3,87.92,109.90,0.00,12% GST
,S/132992,25/03/2021,BEVON,15 CAP,3004,EMCUR,ZPE6AD0129,31/10/2022,109.90,12,71.06,109.90,0.00,12% GST
,00728149,24/02/2021,BEVON SYRUP,100 ML,3004,ZUVEN,Z06AH20107,28/03/2022,144.55,5,99.91,144.55,0.00,12% GST
,00154480,21/08/2020,BEXOL 2,10 TAB,3004,INTAS,K2000496,28/02/2023,13.33,1,10.45,13.33,0.00,12% GST
,00112219,26/08/2020,BFIT EE DIAPERS,MEDIUM,2106,3M IN,1307,/  /,425.00,1,246.41,425.00,0.00,12% GST
,00112219,26/08/2020,BFIT EE DIAPERS,MEDIUM,2106,3M IN,2907,/  /,475.00,1,257.61,475.00,0.00,12% GST
27AAHCS2250A1ZT,S/21290,04/05/2021,BIDIN LS EYE DROPS,5 ML,3004,AJA,KL0041B,31/01/2023,203.00,1,145.00,203.00,12.00,12% GST
,KP/43103,04/02/2021,BIDIN LS TM EYE DROPS,5 ML,3004,AJA,KL0020G,30/06/2022,203.00,2,159.00,203.00,0.00,12% GST
,KP/43103,04/02/2021,BIDIN LS TM EYE DROPS,5 ML,3004,AJA,KL0020H,31/07/2022,203.00,1,159.01,203.00,0.00,12% GST
,KP/42354,30/01/2021,BIDIN T EYE DROPS,5 ML,3004,AJA,KL0010J,30/09/2022,177.00,2,138.79,177.00,0.00,12% GST
,00726186,19/02/2021,BIDIN T EYE DROPS,5 ML,3004,AJA,KL0010J,30/09/2022,177.00,1,135.93,177.00,0.00,12% GST
,00154483,21/08/2020,BIFILAC,10 CAP,3004,TAB,ALAOF4,28/03/2022,109.00,1,85.45,109.00,0.00,12% GST
,00154483,21/08/2020,BIFILAC DRY SYRUP,50 ML,3004,TAB,TDA9N4,28/05/2021,103.50,1,81.14,103.50,0.00,12% GST
,00154483,21/08/2020,BIFILAC HP,10 CAP,3004,TAB,BLAOC1,28/12/2021,175.50,1,137.57,175.50,0.00,12% GST
,EPL/67530,26/02/2021,BILASHINE,10 TAB,3004,SUN,PDX0031,30/09/2022,118.00,1,92.53,118.00,0.00,12% GST
,00169475,05/12/2020,BILOSAR 6.25,10 TAB,3004,TORRE,BLS-1901,31/05/2021,91.11,5,71.40,91.11,0.00,12% GST
,00173223,01/01/2021,BILOSAR 6.25,10 TAB,3004,TORRE,BLS-1901,31/05/2021,91.11,5,71.43,91.11,0.00,12% GST
,522520003/338,07/12/2020,BILUMA CREAM,20 GM,2106,GAL,BGR07,31/01/2022,476.00,96,306.32,476.00,0.00,18% GST
27AAHCR3491G1Z5,RDD/1851,13/04/2021,BIMAT EYE DROPS,5 ML,3004,AJA,N0010I,31/08/2022,308.00,1,205.92,308.00,12.00,12% GST
,00705590,14/01/2021,BIMAT LS EYE DROPS,5 ML,3004,AJA,AD0080I,31/08/2022,245.00,2,190.18,245.00,0.00,12% GST
,EPL/71738,12/03/2021,BIMAT LS EYE DROPS,5 ML,3004,AJA,AD0140K,31/10/2022,222.00,1,173.99,222.00,0.00,12% GST
,S/118175,02/03/2021,BIMAT LS TM EYE DROPS,3 ML,3004,AJA,AD0080I,31/08/2022,245.00,1,190.09,245.00,0.00,12% GST
,00113335,17/09/2020,BIO APRICOT BODY WASH,190ML,3004,BIOMA,01092020,/  /,180.00,1,150.04,180.00,0.00,12% GST
,S/63111,20/11/2020,BIO D3,10 CAP,3004,MACLE,KBE2007A,30/04/2023,182.50,1,141.61,182.50,0.00,12% GST
,S/75165,12/12/2020,BIO D3,10 CAP,3004,MACLE,KBE2012A,31/05/2023,182.50,1,141.61,182.50,0.00,12% GST
,GTEHHY/210163539,31/03/2021,BIO D3 MAX,10 CAP,3004,MACLE,KBB21003A,01/09/2023,323.39,1,228.64,323.39,0.00,12% GST
,EPL/68670,02/03/2021,BIO D3 PLUS,15 CAP,3004,MACLE,KBC2059A,31/10/2023,227.00,1,177.94,227.00,0.00,12% GST
,EPL/77180,27/03/2021,BIO D3 XT,15 TAB,3004,MACLE,PHUAW32,31/12/2022,324.00,2,254.06,324.00,0.00,12% GST
,00113335,17/09/2020,BIO HONEY CREAM B/W,190ML,3004,BIOMA,15092020,/  /,180.00,1,150.04,180.00,0.00,12% GST
,00112228,26/08/2020,BIO KELP SHAMPOO,180 ML,3004,BIOTE,17082020,/  /,155.00,1,136.09,155.00,0.00,18% GST
,00625551,24/08/2020,BIOSUGANRIL 10,10 TAB,3004,ABBOT,:BSB0001,28/01/2022,179.30,1,137.73,179.30,0.00,12% GST
,00625551,24/08/2020,BIOSUGANRIL 20,10 TAB,3004,ABBOT,MPE0009,28/12/2020,164.00,1,125.98,164.00,0.00,12% GST
,00112228,26/08/2020,BIOTIC EAR DROPS,5 ML,3004,GRC,17082020,/  /,99.00,1,82.45,99.00,0.00,12% GST
,S/72690,04/01/2021,BIOVAS 20,10 TAB,3004,BIO,ZD20743,30/06/2022,211.45,5,24.63,211.45,0.00,12% GST
,R/9463,19/08/2020,BLACK ROSE KALI MEHANDI,10 GM,2106,GEN,150220,/  /,60.00,1,50.36,60.00,0.00,18% GST
,R/12714,25/09/2020,BLACK ROSE KALI MEHANDI,10 GM,2106,GEN,150220,/  /,60.00,1,50.34,60.00,0.00,18% GST
,00735272,08/03/2021,BLISE FACE WASH,50 ML,2106,AJA,G0981,28/11/2022,298.00,1,228.87,298.00,0.00,18% GST
,00735272,08/03/2021,BLISE FACE WASH,50 ML,2106,AJA,CL154.,28/12/2021,272.50,1,209.28,272.50,0.00,18% GST
,S/122947,08/03/2021,BLISE FACE WASH,50 ML,2106,AJA,G0982,30/11/2022,298.00,1,231.25,298.00,0.00,18% GST
,00737276,12/03/2021,BLISE FACE WASH,50 ML,2106,AJA,CL154.,28/12/2021,272.50,4,209.29,272.50,0.00,18% GST
27AAFFM7699Q1Z3,00751815,05/04/2021,BLISE FACE WASH,50 ML,2106,AJA,G0982,01/11/2022,298.00,2,202.03,298.00,18.00,18% GST
27AAHCS2250A1ZT,S/1812,05/04/2021,BLISE FACE WASH,50 ML,2106,AJA,G1031,31/12/2022,298.00,2,202.03,298.00,18.00,18% GST
,EPL/27429,24/10/2020,BON DK 60K,4 TAB,3004,GLE,BDIE0004,30/04/2022,117.56,1,92.14,117.56,0.00,12% GST
,00677809,25/11/2020,BON K2,10 TAB,3004,GLE,BK2P0017,28/10/2021,259.00,3,198.87,259.00,0.00,12% GST
,SIR/213996,12/12/2020,BON K2,10 TAB,3004,GLE,18200404,31/03/2022,259.00,2,203.10,259.00,0.00,12% GST
,00070125,21/01/2021,BON K2,10 TAB,3004,GLE,BK2P0020,28/02/2022,259.00,5,202.98,259.00,0.00,12% GST
,EPL/78336,31/03/2021,BON K2,10 TAB,3004,GLE,18200458,30/04/2022,259.00,5,182.80,259.00,0.00,12% GST
27AAFFM7699Q1Z3,00765531,22/04/2021,BON K2 HD,10 TAB,3004,GLE,BK1TH101,28/06/2022,259.36,1,175.84,259.36,12.00,12% GST
,R/9461,19/08/2020,BORIC ACID POWDER,100 GM,2106,PCH,226,/  /,65.00,2,50.16,65.00,0.00,18% GST
,R/9461,19/08/2020,BORIC ACID POWDER,200 GM,2106,PCH,226,/  /,100.00,1,77.19,100.00,0.00,18% GST
,R/9461,19/08/2020,BORIC ACID POWDER,50 GM,2106,PCH,226,/  /,40.00,1,31.14,40.00,0.00,18% GST
,R/12714,25/09/2020,BORIC ACID POWDER,100 GM,2106,PCH,226,/  /,55.00,2,44.51,55.00,0.00,18% GST
,R/12714,25/09/2020,BORIC ACID POWDER,200 GM,2106,PCH,226,/  /,100.00,2,80.90,100.00,0.00,18% GST
,R/12714,25/09/2020,BORIC ACID POWDER,400 GM,2106,PCH,245,/  /,195.00,3,150.47,195.00,0.00,18% GST
,RDD/22290,30/12/2020,BORIC ACID POWDER,400 GM,2106,PCH,5,31/07/2023,180.00,1,132.22,180.00,0.00,18% GST
27AJGPG9823J1ZW,A/1007,16/04/2021,BORIC ACID POWDER,200 GM,2106,PCH,01,/  /,100.00,5,72.00,100.00,18.00,18% GST
27AJGPG9823J1ZW,A/1007,16/04/2021,BORIC ACID POWDER,400 GM,2106,PCH,01,/  /,190.00,2,136.87,190.00,18.00,18% GST
27AJGPG9823J1ZW,A/1007,16/04/2021,BORIC ACID POWDER,100 GM,2106,PCH,01,/  /,60.00,5,43.22,60.00,18.00,18% GST
,R/8244,25/09/2020,BOROLINE CREAM,21 GM,3004,G D P,B987,/  /,38.00,5,33.99,38.00,0.00,12% GST
,S/27428,31/08/2020,BRESOL,60 TAB,3004,HIM,372000568,31/03/2023,140.00,1,105.66,140.00,0.00,12% GST
,S/27428,31/08/2020,BRESOL SYRUP,100 ML,3004,HIM,25900440,31/03/2022,75.00,1,56.61,75.00,0.00,12% GST
,S/30019,05/09/2020,BRESOL SYRUP,200 ML,3004,HIM,252000335,28/02/2023,120.00,1,89.63,120.00,0.00,12% GST
,IDB20273685,09/01/2021,BRILANTE SERUM,100 ML,2106,REGAL,CL010,01/12/4022,419.00,1,329.00,419.00,0.00,18% GST
27AAACE7630H1ZQ,EPL/5495,13/04/2021,BRILINTA,14 TAB,3004,ASZ,UFTG,31/08/2023,420.00,1,300.00,420.00,12.00,12% GST
27AAHCR3491G1Z5,RDD/1853,13/04/2021,BRILINTA,14 TAB,3004,ASZ,BSY004,28/02/2023,420.00,1,280.80,420.00,12.00,12% GST
27AAFFM7699Q1Z3,00765531,22/04/2021,BRILINTA,14 TAB,3004,ASZ,BSY004,28/02/2023,420.00,2,300.00,420.00,12.00,12% GST
27AAACE7630H1ZQ,EPL/12918,04/05/2021,BRILINTA,14 TAB,3004,ASZ,BSY005,31/03/2023,420.00,2,300.00,420.00,12.00,12% GST
27AAFFM7699Q1Z3,00771607,04/05/2021,BRILINTA,14 TAB,3004,ASZ,UFTG,28/08/2023,420.00,3,300.00,420.00,12.00,12% GST
27AAFFM7699Q1Z3,00783429,27/05/2021,BRILINTA,14 TAB,3004,ASZ,BSY005,28/03/2023,420.00,2,300.00,420.00,12.00,12% GST
27AAHCG7843H1ZA,GTEHHY/220007066,09/04/2021,BRINZAGAN EYE DROPS,5 ML,3004,SVIZE,89308,01/07/2022,470.19,1,315.70,470.19,12.00,12% GST
27AAHCS2250A1ZT,S/21290,04/05/2021,BRINZOTIM EYE DROPS,5 ML,3004,SUN,BAC0107A,28/02/2023,425.00,1,303.57,425.00,12.00,12% GST
,KP/42354,30/01/2021,BRINZOX EYE DROPS,5 ML,3004,AJA,AD0110G,30/06/2022,447.00,1,350.49,447.00,0.00,12% GST
,S/127227,16/03/2021,BRINZOX EYE DROPS,5 ML,3004,AJA,AD0010L,30/11/2023,447.00,1,346.87,447.00,0.00,12% GST
,EPL/71738,12/03/2021,BRINZOX T EYE DROPS,5 ML,3004,AJA,AD0120I,31/08/2022,317.24,1,248.64,317.24,0.00,12% GST
,RDD/15118,09/11/2020,BRIVEX EYE DROPS,5 ML,3004,AJA,IS0030G,30/06/2022,426.50,1,319.41,426.50,0.00,12% GST
,S/102994,02/02/2021,BRIVEX EYE DROPS,5 ML,3004,AJA,IS0060I,31/08/2022,426.50,2,330.99,426.50,0.00,12% GST
,IDB20325206,20/02/2021,BRIVEX EYE DROPS,5 ML,3004,AJA,IS0010K,01/10/4022,426.50,1,334.33,426.50,0.00,12% GST
27AAACE7630H1ZQ,EPL/12009,01/05/2021,BRIVEX EYE DROPS,5 ML,3004,AJA,IS0010L,30/11/2022,426.50,1,304.64,426.50,12.00,12% GST
27AAHCS2250A1ZT,S/35317,31/05/2021,BRIVEX EYE DROPS,5 ML,3004,AJA,IS0031D,31/03/2023,426.50,1,304.64,426.50,12.00,12% GST
,,/  /,BRO ZEDEX SF SYRUP,100 ML,3004,WOCK,JV10411,30/06/2022,124.74,1,99.79,124.74,0.00,12% GST
,EPL/6251,24/08/2020,BRO ZEDEX SYRUP,100 ML,3004,WOCK,JV10267,30/04/2022,118.00,1,92.49,118.00,0.00,12% GST
,00657264,20/10/2020,BRO ZEDEX SYRUP,100 ML,3004,WOCK,JV10365,28/06/2022,118.00,2,90.56,118.00,0.00,12% GST
,00648179,02/10/2020,BRONCOREX SYRUP,100 ML,3004,PFIZE,920-13105R,28/11/2021,106.02,1,81.45,106.02,0.00,12% GST
,00625552,24/08/2020,BRUFEN 200,15 TAB,3004,ABBOT,170776D7,28/04/2023,6.30,3,4.84,6.30,0.00,12% GST
,00625552,24/08/2020,BRUFEN 400,15 TAB,3004,ABBOT,170821D7,28/04/2023,11.59,1,8.91,11.59,0.00,12% GST
,EPL/65588,20/02/2021,BUDAMATE 400 TRANSCAPS,UNIT,3004,LUPIN,U100053,31/12/2022,215.53,1,168.91,215.53,0.00,12% GST
,S/27385,29/08/2020,BUDECORT 0.5 MG RESPULES,2 ML,3004,CIPLA,SN00541,31/03/2022,23.34,20,18.30,23.34,0.00,12% GST
,SIR/304916,06/03/2021,BUDECORT 0.5 MG RESPULES,2 ML,3004,CIPLA,SN01445,31/08/2022,23.77,40,16.77,23.77,0.00,12% GST
,S/27386,29/08/2020,BUDECORT 100 INHALER,UNIT,3004,CIPLA,SN00146,31/08/2021,277.76,1,217.82,277.76,0.00,12% GST
27AAHCG7843H1ZA,GTEHHY/220007066,09/04/2021,BUDECORT 200 ROTACAPS,30 CAP,3004,CIPLA,BA03466,01/11/2023,96.76,1,64.96,96.76,12.00,12% GST
,R/10234,28/08/2020,BUGNIL SPRAY,250 ML,3004,GEN,-,/  /,150.00,3,104.96,150.00,0.00,12% GST
,EPL/6253,24/08/2020,BULARID,10 TAB,3004,IPC,J900828,31/05/2021,100.00,1,78.40,100.00,0.00,12% GST
,R/9455,19/08/2020,BURNOL CREAM,20 GM,3004,MOR,1907008,/  /,78.00,6,57.80,78.00,0.00,12% GST
,R/9455,19/08/2020,BURNOL CREAM,10 GM,3004,MOR,1909033,/  /,49.00,4,36.12,49.00,0.00,12% GST
,00625578,24/08/2020,BUSCOGAST PLUS,10 TAB,3004,SANOF,BPA19009,28/10/2021,49.89,1,38.30,49.89,0.00,12% GST
,00178308,03/02/2021,BUSPIN 10,10 TAB,3004,INTAS,V2000263,28/02/2023,46.50,1,36.45,46.50,0.00,12% GST
,S/103421,03/02/2021,BUSPIN 10,10 TAB,3004,INTAS,V2000468,30/04/2023,46.50,2,36.09,46.50,0.00,12% GST
,EPL/6256,24/08/2020,Becosule Junior Syrup,200Ml,3004,PFIZE,2030001O,31/05/2021,135.00,1,105.85,135.00,0.00,12% GST
,R/9458,19/08/2020,Bellona Plast,1 Pcs,2106,3M IN,G/2029,/  /,15.00,10,6.45,15.00,0.00,12% GST
,R/26046,26/02/2021,Bellona Plast,1 Pcs,2106,3M IN,G/2029,/  /,15.00,10,6.45,15.00,0.00,12% GST
,R/26046,26/02/2021,Bellona Plast,1 Pcs,2106,3M IN,G/2029,/  /,15.00,10,6.45,15.00,0.00,12% GST
27AAHCS2250A1ZT,S/27092,15/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0016,31/08/2021,910.00,1,616.95,910.00,18.00,18% GST
27AAFFM7699Q1Z3,00778342,15/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0016,31/08/2021,910.00,1,616.95,910.00,18.00,18% GST
27AAHCS2250A1ZT,S/28693,18/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0016,31/08/2021,910.00,5,616.95,910.00,18.00,18% GST
27AAHCS2250A1ZT,S/29802,21/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0016,31/08/2021,910.00,2,616.95,910.00,18.00,18% GST
27AAFFM7699Q1Z3,00780482,21/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0016,31/08/2021,910.00,4,616.95,910.00,18.00,18% GST
27AAFFM7699Q1Z3,00780600,21/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0016,31/08/2021,910.00,2,616.95,910.00,18.00,18% GST
27AAJFN8418J1ZT,S/55854,25/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,2,616.95,910.00,18.00,18% GST
27AAJFN8418J1ZT,S/56327,25/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,6,616.95,910.00,18.00,18% GST
27AAGFA4541G1ZO,00196828,25/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0016,31/08/2021,910.00,2,616.95,910.00,18.00,18% GST
27AAFFM7699Q1Z3,00782884,27/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,2,616.95,910.00,18.00,18% GST
27AAHCR3491G1Z5,RDD/8363,31/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,3,577.46,910.00,18.00,18% GST
27AAFFM7699Q1Z3,00784459,31/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,3,616.95,910.00,18.00,18% GST
27AAHCS2250A1ZT,S/34691,31/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,1,616.95,910.00,18.00,18% GST
27AAFFM7699Q1Z3,00784955,31/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,1,616.95,910.00,18.00,18% GST
27AAHCS2250A1ZT,S/35317,31/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,2,616.95,910.00,18.00,18% GST
27AAFFM7699Q1Z3,00785151,31/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,2,616.95,910.00,18.00,18% GST
27AAHCS2250A1ZT,S/35963,31/05/2021,Beneria Gel 30 Gm,30 Gm,3004,SUN,WWW0017,30/09/2021,910.00,2,616.95,910.00,18.00,18% GST
,R/9457,19/08/2020,Bi Quinol Tablet,1X20Tb,2106,BRJ,1347,/  /,34.00,6,11.65,34.00,0.00,12% GST
,KP/28722,28/10/2020,Bilanta 20 Mg Tab,10 Tab,3004,AJA,CT0580B,31/01/2022,107.00,1,83.87,107.00,0.00,12% GST
,S/52677,28/10/2020,Bilanta 20 Mg Tab,10 Tab,3004,AJA,CT0709H,31/07/2021,107.00,1,83.06,107.00,0.00,12% GST
,S/91659,08/03/2021,Biovas 40 Tab,10Tab,3006,3M IN,ZD20743,30/06/2022,215.43,10,24.63,215.43,0.00,12% GST
,S/88838,07/01/2021,Blissvita Tab,10Tab,3004,AAN P,PF-2486,28/02/2022,85.00,2,62.62,85.00,0.00,12% GST
27AAHCS2250A1ZT,S/28141,15/05/2021,Blynds Ac Gel,50Gm,3004,INTAS,IAC20004,31/08/2022,575.00,4,389.83,575.00,18.00,18% GST
27AAHCS2250A1ZT,S/28141,15/05/2021,Blynds Ac Gel,50Gm,3004,INTAS,IAC21001,31/03/2023,625.00,2,423.73,625.00,18.00,18% GST
,R/9457,19/08/2020,Brain Tablet,40 Tab,3004,BAIDY,100385,/  /,195.00,1,147.65,195.00,0.00,12% GST
,00742915,20/03/2021,Bristaa Intense Craem,20 Gm,3004,SUN,SGX0076,31/05/2022,980.00,1,752.50,980.00,0.00,18% GST
,00743207,22/03/2021,Bristaa Intense Craem,20 Gm,3004,SUN,SGX0076,31/05/2022,980.00,1,752.65,980.00,0.00,18% GST
,00743849,22/03/2021,Bristaa Intense Craem,20 Gm,3004,SUN,SGX0076,31/05/2022,980.00,2,752.59,980.00,0.00,18% GST
,00743849,22/03/2021,Bristaa Intense Craem,20 Gm,3004,SUN,SGY0013,31/07/2022,980.00,1,752.58,980.00,0.00,18% GST
,00743969,23/03/2021,Bristaa Intense Craem,20 Gm,3004,SUN,SGY0013,31/07/2022,980.00,2,752.67,980.00,0.00,18% GST
,EPL/76215,24/03/2021,Bristaa Intense Craem,20 Gm,3004,SUN,SGY0013,31/07/2022,980.00,1,768.07,980.00,0.00,18% GST
,00744654,25/03/2021,Bristaa Intense Craem,20 Gm,3004,SUN,SGY0013,31/07/2022,980.00,7,752.68,980.00,0.00,18% GST
